Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	146.00	1298.9	0.00076990	-186.36	-175.12	2.2197	1.0941	1.6447	1166.5	-0.037869	0.00064733	0.19975	liquid
61.000	146.00	1294.7	0.00077237	-184.75	-173.47	2.2469	1.0871	1.6473	1162.5	-0.037707	0.00061698	0.19847	liquid
62.000	146.00	1290.6	0.00077486	-183.14	-171.82	2.2737	1.0807	1.6495	1157.9	-0.037564	0.00058864	0.19719	liquid
63.000	146.00	1286.4	0.00077738	-181.52	-170.17	2.3002	1.0748	1.6511	1152.8	-0.037437	0.00056217	0.19591	liquid
64.000	146.00	1282.2	0.00077992	-179.91	-168.52	2.3262	1.0693	1.6522	1147.2	-0.037324	0.00053744	0.19463	liquid
65.000	146.00	1278.0	0.00078248	-178.29	-166.87	2.3518	1.0641	1.6530	1141.3	-0.037223	0.00051431	0.19335	liquid
66.000	146.00	1273.8	0.00078506	-176.68	-165.22	2.3770	1.0591	1.6534	1135.1	-0.037131	0.00049267	0.19207	liquid
67.000	146.00	1269.6	0.00078766	-175.06	-163.56	2.4019	1.0542	1.6535	1128.7	-0.037046	0.00047239	0.19079	liquid
68.000	146.00	1265.4	0.00079029	-173.45	-161.91	2.4264	1.0494	1.6533	1122.2	-0.036966	0.00045339	0.18951	liquid
69.000	146.00	1261.1	0.00079293	-171.83	-160.26	2.4505	1.0448	1.6529	1115.5	-0.036890	0.00043557	0.18822	liquid
70.000	146.00	1256.9	0.00079560	-170.22	-158.60	2.4743	1.0401	1.6524	1108.7	-0.036816	0.00041883	0.18694	liquid
71.000	146.00	1252.7	0.00079828	-168.61	-156.95	2.4977	1.0356	1.6517	1101.9	-0.036743	0.00040309	0.18566	liquid
72.000	146.00	1248.5	0.00080099	-166.99	-155.30	2.5208	1.0311	1.6510	1094.9	-0.036670	0.00038829	0.18439	liquid
73.000	146.00	1244.2	0.00080371	-165.38	-153.65	2.5436	1.0266	1.6502	1088.0	-0.036596	0.00037436	0.18311	liquid
74.000	146.00	1240.0	0.00080646	-163.77	-152.00	2.5660	1.0222	1.6493	1081.0	-0.036519	0.00036122	0.18183	liquid
75.000	146.00	1235.7	0.00080923	-162.17	-150.35	2.5882	1.0178	1.6484	1074.0	-0.036440	0.00034883	0.18055	liquid
76.000	146.00	1231.5	0.00081202	-160.56	-148.70	2.6100	1.0135	1.6476	1066.9	-0.036356	0.00033713	0.17927	liquid
77.000	146.00	1227.2	0.00081484	-158.95	-147.06	2.6315	1.0091	1.6467	1059.9	-0.036268	0.00032607	0.17799	liquid
78.000	146.00	1223.0	0.00081768	-157.35	-145.41	2.6528	1.0049	1.6459	1052.8	-0.036176	0.00031560	0.17671	liquid
79.000	146.00	1218.7	0.00082054	-155.74	-143.76	2.6737	1.0006	1.6451	1045.8	-0.036078	0.00030569	0.17543	liquid
80.000	146.00	1214.4	0.00082342	-154.14	-142.12	2.6944	0.99642	1.6444	1038.8	-0.035974	0.00029629	0.17415	liquid
81.000	146.00	1210.2	0.00082633	-152.54	-140.48	2.7149	0.99226	1.6438	1031.7	-0.035863	0.00028737	0.17287	liquid
82.000	146.00	1205.9	0.00082927	-150.94	-138.83	2.7350	0.98814	1.6432	1024.7	-0.035746	0.00027890	0.17159	liquid
83.000	146.00	1201.6	0.00083223	-149.34	-137.19	2.7549	0.98406	1.6428	1017.7	-0.035622	0.00027085	0.17031	liquid
84.000	146.00	1197.3	0.00083522	-147.74	-135.55	2.7746	0.98003	1.6424	1010.7	-0.035490	0.00026318	0.16903	liquid
85.000	146.00	1193.0	0.00083824	-146.14	-133.90	2.7940	0.97604	1.6421	1003.7	-0.035351	0.00025588	0.16775	liquid
86.000	146.00	1188.7	0.00084129	-144.54	-132.26	2.8133	0.97210	1.6419	996.71	-0.035204	0.00024892	0.16647	liquid
87.000	146.00	1184.3	0.00084436	-142.95	-130.62	2.8322	0.96820	1.6418	989.72	-0.035049	0.00024227	0.16519	liquid
88.000	146.00	1180.0	0.00084747	-141.35	-128.98	2.8510	0.96435	1.6418	982.75	-0.034885	0.00023592	0.16391	liquid
89.000	146.00	1175.6	0.00085061	-139.76	-127.34	2.8695	0.96055	1.6419	975.79	-0.034712	0.00022985	0.16263	liquid
90.000	146.00	1171.3	0.00085378	-138.16	-125.69	2.8879	0.95679	1.6421	968.83	-0.034531	0.00022404	0.16134	liquid
91.000	146.00	1166.9	0.00085698	-136.56	-124.05	2.9060	0.95308	1.6425	961.88	-0.034340	0.00021848	0.16006	liquid
92.000	146.00	1162.5	0.00086022	-134.97	-122.41	2.9240	0.94942	1.6429	954.94	-0.034140	0.00021314	0.15878	liquid
93.000	146.00	1158.1	0.00086349	-133.37	-120.77	2.9418	0.94581	1.6435	948.01	-0.033931	0.00020802	0.15749	liquid
94.000	146.00	1153.7	0.00086679	-131.78	-119.12	2.9593	0.94224	1.6441	941.08	-0.033712	0.00020311	0.15621	liquid
95.000	146.00	1149.2	0.00087014	-130.18	-117.48	2.9767	0.93872	1.6449	934.15	-0.033482	0.00019838	0.15492	liquid
